,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Kadyy,RU,57.787,43.1903,49.03,48,99,6.4,overcast clouds
79,Beringovskiy,RU,63.05,179.3167,44.35,86,94,12.26,overcast clouds
80,Jumla,NP,29.2747,82.1838,68.0,81,70,4.16,broken clouds
81,Bengkulu,ID,-3.8004,102.2655,76.91,89,86,8.57,overcast clouds
82,Lasa,IT,46.6166,10.7002,59.74,88,93,6.53,overcast clouds
83,Mazyr,BY,52.0495,29.2456,52.14,80,100,5.26,overcast clouds
84,Kavieng,PG,-2.5744,150.7967,82.13,79,69,11.95,light rain
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,80,6,10.94,clear sky
86,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.28,45,13,3.38,few clouds
87,Asau,RO,46.4333,26.4,67.12,53,61,16.64,broken clouds
88,Clyde River,CA,70.4692,-68.5914,28.81,74,82,4.45,broken clouds
89,Poum,NC,-20.2333,164.0167,72.93,63,78,12.64,broken clouds
90,Plerin,FR,48.5425,-2.7798,66.74,78,90,1.99,overcast clouds
91,Kasempa,ZM,-13.4584,25.8338,93.7,15,4,7.65,clear sky
92,Maragogi,BR,-9.0122,-35.2225,79.52,65,50,8.66,scattered clouds
93,Fort Nelson,CA,58.8053,-122.7002,40.59,93,75,2.3,broken clouds
94,Lisakovsk,KZ,52.5369,62.4936,49.21,37,100,17.52,overcast clouds
95,Kruisfontein,ZA,-34.0033,24.7314,70.88,58,99,23.02,overcast clouds
96,Fort Beaufort,ZA,-32.7748,26.6338,88.36,8,46,15.17,scattered clouds
97,Lalsk,RU,60.7415,47.5862,40.93,60,100,7.23,overcast clouds
98,Tuatapere,NZ,-46.1333,167.6833,45.82,94,45,5.88,scattered clouds
99,Shirokiy,RU,49.758,129.523,45.9,58,0,3.24,clear sky
100,Georgetown,MY,5.4112,100.3354,84.15,76,20,4.61,few clouds
101,Qaanaaq,GL,77.484,-69.3632,15.96,92,100,6.46,overcast clouds
102,San Cristobal,VE,7.7669,-72.225,68.18,83,96,1.92,overcast clouds
103,Bontang,ID,0.1333,117.5,81.09,80,100,7.05,overcast clouds
104,Qaqortoq,GL,60.7167,-46.0333,41.5,94,100,8.48,overcast clouds
105,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,76.87,59,55,14.29,broken clouds
106,Kapaa,US,22.0752,-159.319,75.52,80,90,1.99,mist
107,Faanui,PF,-16.4833,-151.75,78.24,74,25,16.84,scattered clouds
108,Hilo,US,19.7297,-155.09,75.27,85,90,9.22,light rain
109,Dikson,RU,73.5069,80.5464,35.69,78,99,20.15,overcast clouds
110,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,20.71,light rain
111,Chokurdakh,RU,70.6333,147.9167,25.47,85,45,7.92,scattered clouds
112,Tazovskiy,RU,67.4667,78.7,42.71,83,98,7.31,overcast clouds
113,Werda,BW,-25.2667,23.2833,87.24,23,0,16.78,clear sky
114,Yagodnoye,RU,62.55,149.6667,35.26,99,100,4.99,light rain
115,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,93,20,2.3,few clouds
116,Hualmay,PE,-11.0964,-77.6139,59.67,83,59,7.7,broken clouds
117,Mpika,ZM,-11.8343,31.4529,76.59,41,50,10.27,scattered clouds
118,Saint Anthony,US,45.0205,-93.218,72.82,84,1,3.0,clear sky
119,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,62.22,92,32,10.69,scattered clouds
120,Vanimo,PG,-2.6741,141.3028,77.74,86,91,1.34,overcast clouds
121,Caravelas,BR,-17.7125,-39.2481,79.92,58,18,7.54,few clouds
122,Bethel,US,41.3712,-73.414,64.18,88,1,0.0,clear sky
123,Hovd,MN,48.0056,91.6419,71.53,20,32,16.78,scattered clouds
124,Severo-Kurilsk,RU,50.6789,156.125,51.13,96,100,14.32,moderate rain
125,Pundaguitan,PH,6.3711,126.1689,82.04,78,87,10.69,overcast clouds
126,Korsakov,RU,46.6328,142.7813,51.64,59,100,5.93,overcast clouds
127,Samarai,PG,-10.6167,150.6667,78.42,88,100,18.63,overcast clouds
128,Pasni,PK,25.2631,63.471,82.42,80,8,17.11,clear sky
129,Buraydah,SA,26.326,43.975,102.65,10,5,5.79,clear sky
130,Mount Isa,AU,-20.7333,139.5,73.17,33,0,4.61,clear sky
131,Morganton,US,35.7454,-81.6848,72.3,96,1,0.0,clear sky
132,Kaitangata,NZ,-46.2817,169.8464,44.71,95,100,4.92,moderate rain
133,Ponta Do Sol,PT,32.6667,-17.1,77.72,63,67,4.18,broken clouds
134,Padang,ID,-0.9492,100.3543,76.73,85,99,3.58,overcast clouds
135,Gizo,SB,-8.103,156.8419,81.41,78,87,5.77,light rain
136,Saint-Joseph,RE,-21.3667,55.6167,75.56,65,99,11.97,overcast clouds
137,Beidao,CN,34.5686,105.8933,62.78,71,95,1.48,light rain
138,Talnakh,RU,69.4865,88.3972,40.15,98,100,2.95,light rain
139,Bocas Del Toro,PA,9.3333,-82.25,79.07,79,98,4.68,overcast clouds
140,Alyangula,AU,-13.8483,136.4192,76.87,73,45,6.91,scattered clouds
141,Katsuura,JP,35.1333,140.3,71.71,66,77,19.1,broken clouds
142,Esperance,AU,-33.8667,121.9,53.44,65,100,13.0,overcast clouds
143,Lorengau,PG,-2.0226,147.2712,81.91,77,93,8.16,moderate rain
144,Oktyabrskoye,RU,43.0645,44.7417,66.34,73,75,8.95,broken clouds
145,Nurota,UZ,40.5614,65.6886,82.9,12,0,16.26,clear sky
146,Butaritari,KI,3.0707,172.7902,82.99,66,96,15.08,overcast clouds
147,Mende,FR,44.6667,3.5,48.79,80,98,9.95,overcast clouds
148,Luderitz,NA,-26.6481,15.1594,63.07,59,11,11.68,few clouds
149,Camacupa,AO,-12.0167,17.4833,87.98,27,94,6.29,overcast clouds
