,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
346,Dehloran,IR,32.6941,47.2679,102.29,8,0,20.4,clear sky
347,Avera,US,33.194,-82.5271,73.71,89,96,5.61,overcast clouds
348,Cap Malheureux,MU,-19.9842,57.6142,77.47,50,99,5.99,overcast clouds
349,Ust-Donetskiy,RU,47.6419,40.8718,75.25,41,98,18.79,overcast clouds
350,Antofagasta,CL,-23.65,-70.4,56.48,76,92,2.86,overcast clouds
351,Jiazi,CN,22.8779,116.067,81.75,84,1,7.02,clear sky
352,Piracuruca,BR,-3.9281,-41.7092,90.55,34,47,5.66,scattered clouds
353,Jasper,US,37.2001,-94.3502,68.68,92,0,1.01,clear sky
354,Jacareacanga,BR,-6.2222,-57.7528,84.31,61,63,0.36,broken clouds
355,Lakes Entrance,AU,-37.8811,147.981,60.57,55,92,11.07,overcast clouds
356,Brod,BA,45.1375,17.9897,75.65,40,50,2.55,scattered clouds
357,Ginir,ET,7.1333,40.7,75.97,40,67,2.98,broken clouds
358,Gwadar,PK,25.1216,62.3254,83.75,75,18,13.18,few clouds
359,Coswig,DE,51.1333,13.5833,57.09,66,75,4.61,broken clouds
360,Hofn,IS,64.2539,-15.2082,51.26,82,36,15.01,scattered clouds
361,Kaeo,NZ,-35.1,173.7833,54.32,86,100,9.64,overcast clouds
362,Beruwala,LK,6.4788,79.9828,82.29,80,78,7.87,broken clouds
363,Mandali,IQ,33.7499,45.5541,100.98,9,0,15.35,clear sky
364,Iralaya,HN,15.0,-83.2333,79.29,85,54,7.52,broken clouds
365,Hjortshoj,DK,56.2481,10.2653,57.81,67,100,11.1,overcast clouds
366,Chernyshevskiy,RU,63.0128,112.4714,37.69,72,95,6.02,overcast clouds
367,Kirakira,SB,-10.4544,161.9205,79.3,86,91,12.35,overcast clouds
368,Port-Gentil,GA,-0.7193,8.7815,84.16,65,20,12.66,few clouds
369,Guerrero Negro,MX,27.9769,-114.0611,67.5,85,2,14.45,clear sky
370,Manta,EC,-0.95,-80.7333,71.38,94,90,8.05,overcast clouds
371,Izhma,RU,65.0083,53.9113,40.35,66,100,12.12,overcast clouds
372,Hulan Ergi,CN,47.2042,123.6333,51.13,82,93,4.54,overcast clouds
373,Sunland Park,US,31.7965,-106.58,77.97,39,1,5.99,clear sky
374,Soller,ES,39.7662,2.7152,80.22,60,52,4.54,broken clouds
375,Balkanabat,TM,39.5108,54.3671,87.91,27,9,10.16,clear sky
376,Pavilosta,LV,56.8879,21.1859,57.11,52,1,17.25,clear sky
377,Thinadhoo,MV,0.5333,72.9333,83.89,71,89,7.45,overcast clouds
378,Hambantota,LK,6.1241,81.1185,88.14,79,20,11.5,few clouds
379,Hokitika,NZ,-42.7167,170.9667,50.7,84,99,17.34,overcast clouds
380,Masterton,NZ,-40.9597,175.6575,51.89,87,91,8.88,overcast clouds
381,Palestine,PS,31.9216,35.2033,83.93,38,0,12.46,clear sky
382,Iranshahr,IR,27.2025,60.6848,107.94,15,20,6.91,few clouds
383,Sarwar,IN,26.0667,75.0,83.25,77,57,5.06,broken clouds
384,Srednekolymsk,RU,67.45,153.6833,30.56,60,78,18.79,broken clouds
385,Kelsterbach,DE,50.0667,8.5333,69.15,70,40,11.5,scattered clouds
386,Clinton,US,42.587,-82.9199,58.89,94,1,6.91,clear sky
387,Fallon,US,39.4735,-118.7774,64.92,29,1,4.61,clear sky
388,Mandera,KE,3.9366,41.867,97.52,26,50,17.49,scattered clouds
389,Libenge,CD,3.65,18.6333,91.99,42,79,1.01,broken clouds
390,Ternate,ID,0.8,127.4,79.47,82,88,2.46,overcast clouds
391,San Luis,AR,-33.295,-66.3356,66.65,47,42,2.01,scattered clouds
392,Marsa Matruh,EG,31.3525,27.2453,84.4,65,0,11.5,clear sky
393,Cedar City,US,37.6775,-113.0619,59.4,79,1,10.36,clear sky
394,Kieta,PG,-6.2167,155.6333,78.78,84,62,3.51,broken clouds
395,Walla Walla,US,46.0646,-118.343,57.07,81,90,1.01,overcast clouds
396,Tommot,RU,58.9564,126.2925,38.88,93,96,6.4,light rain
397,Dondaicha,IN,21.3333,74.5667,85.06,71,64,17.36,broken clouds
398,Nuuk,GL,64.1835,-51.7216,34.41,80,40,8.05,scattered clouds
399,Namatanai,PG,-3.6667,152.4333,79.39,80,16,7.38,few clouds
400,Alta Floresta,BR,-9.8756,-56.0861,85.77,41,11,0.63,few clouds
401,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,76,20,4.61,few clouds
402,Ahuimanu,US,21.4447,-157.8378,76.71,82,90,13.8,moderate rain
403,Egvekinot,RU,66.3167,-179.1667,21.63,86,89,5.5,overcast clouds
404,Niamey,NE,13.5137,2.1098,91.69,49,0,9.22,clear sky
405,La Asuncion,VE,11.0333,-63.8628,76.73,94,2,5.75,clear sky
406,Fuerte Olimpo,PY,-21.0415,-57.8738,92.48,20,37,9.37,scattered clouds
407,Goure,NE,13.9835,10.2704,98.02,18,35,6.06,scattered clouds
408,Puerto Leguizamo,CO,-0.1934,-74.7819,72.55,85,44,0.56,scattered clouds
409,Maloy,NO,61.9353,5.1136,65.05,89,100,11.48,overcast clouds
410,Alice Springs,AU,-23.7,133.8833,72.95,38,68,8.05,broken clouds
411,Inhambane,MZ,-23.865,35.3833,73.38,49,40,6.91,scattered clouds
412,Buta,CD,2.7858,24.73,88.52,47,91,2.57,overcast clouds
413,Mednogorsk,RU,51.4128,57.595,51.55,33,11,15.35,few clouds
414,Jinxiang,CN,27.4327,120.6062,78.3,91,28,4.43,light rain
415,Auki,SB,-8.7676,160.7034,77.41,89,88,5.64,overcast clouds
416,Riyadh,SA,24.6877,46.7219,102.34,8,0,17.87,clear sky
417,Buchanan,LR,5.8808,-10.0467,79.61,82,96,6.55,light rain
418,Flinders,AU,-34.5833,150.8552,61.21,63,0,1.99,clear sky
419,Port Hedland,AU,-20.3167,118.5667,78.85,36,3,8.05,clear sky
420,Sao Filipe,CV,14.8961,-24.4956,80.98,79,78,6.31,broken clouds
421,Arlit,NE,18.7369,7.3853,103.37,9,21,3.53,few clouds
422,Khromtau,KZ,50.2503,58.4347,52.32,27,2,15.57,clear sky
423,Vredendal,ZA,-31.6683,18.5012,70.11,45,35,21.23,scattered clouds
424,Maroantsetra,MG,-15.4333,49.7333,70.61,90,100,13.11,light rain
425,Irbil,IQ,36.1926,44.0106,93.69,13,0,10.56,clear sky
426,Calvinia,ZA,-31.4707,19.776,64.35,31,44,14.79,scattered clouds
427,Daru,PG,-9.0763,143.2092,77.14,90,100,17.78,light rain
428,Sao Francisco De Assis,BR,-29.5503,-55.1311,67.57,87,93,10.49,overcast clouds
429,Makakilo City,US,21.3469,-158.0858,75.52,80,20,0.0,light rain
430,Redlands,US,34.0556,-117.1825,70.7,60,1,0.0,clear sky
431,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,73,40,10.04,scattered clouds
432,Chernoyerkovskaya,RU,45.4331,37.7686,73.9,81,100,11.18,overcast clouds
433,Bereda,ES,43.2686,-7.5406,67.01,47,23,3.24,few clouds
434,Yavoriv,UA,49.9386,23.3825,47.48,92,100,13.53,overcast clouds
435,Husavik,IS,66.0449,-17.3389,51.71,91,75,8.68,broken clouds
436,Yumen,CN,40.2833,97.2,73.71,16,3,9.4,clear sky
437,Okha,RU,53.5739,142.9478,50.05,64,100,16.17,overcast clouds
438,Svetlogorsk,BY,52.6333,29.7333,51.67,84,99,3.18,overcast clouds
439,Imeni Poliny Osipenko,RU,52.4201,136.4853,43.79,62,62,5.46,broken clouds
440,Ibadan,NG,7.3878,3.8964,84.51,66,77,4.54,light rain
441,Beloha,MG,-25.1667,45.05,67.77,52,99,12.24,overcast clouds
442,Iskateley,RU,67.6803,53.1512,40.08,73,100,15.39,overcast clouds
443,Hashtrud,IR,37.4779,47.0508,80.46,13,0,4.92,clear sky
444,Fort Wellington,GY,6.4,-57.6,83.17,69,53,3.29,broken clouds
445,Chapais,CA,49.7834,-74.8492,46.18,71,91,1.83,overcast clouds
446,Shipunovo,RU,52.1582,82.2173,58.26,41,100,15.55,overcast clouds
447,Broken Hill,AU,-31.95,141.4333,64.11,19,0,8.05,clear sky
448,Balyaga,RU,51.1507,108.921,55.62,70,74,1.66,broken clouds
449,Magnitka,RU,55.3475,59.6961,36.09,85,96,15.23,overcast clouds
450,Amboise,FR,47.4125,0.9827,62.22,93,90,10.36,light intensity drizzle
451,Paulo Afonso,BR,-9.4061,-38.2147,80.92,52,64,9.98,broken clouds
452,Santarem,BR,-2.4431,-54.7083,77.13,100,40,2.3,thunderstorm
453,Lanzhou,CN,36.0564,103.7922,61.88,50,82,3.22,broken clouds
454,Troitsko-Pechorsk,RU,62.7084,56.1964,40.39,65,99,13.47,overcast clouds
455,Ahipara,NZ,-35.1667,173.1667,55.62,84,100,11.63,overcast clouds
456,Port Macquarie,AU,-31.4333,152.9167,55.36,80,0,5.97,clear sky
457,Bozeman,US,45.6796,-111.0386,56.62,65,90,1.01,overcast clouds
458,Katangli,RU,51.7102,143.2326,43.03,76,16,9.13,few clouds
459,Smiths Falls,CA,44.9001,-76.0161,52.39,72,90,4.45,overcast clouds
460,Tiznit,MA,29.5833,-9.5,74.08,58,100,4.88,overcast clouds
461,Berlevag,NO,70.8578,29.0864,51.8,66,94,21.99,overcast clouds
462,Maniitsoq,GL,65.4167,-52.9,35.02,46,19,2.71,few clouds
463,Caraballeda,VE,10.6112,-66.8522,77.36,74,16,1.14,few clouds
464,Northam,GB,51.0333,-4.2167,67.01,81,85,13.71,overcast clouds
465,Hamamatsu,JP,34.7,137.7333,77.02,87,98,3.33,overcast clouds
466,Nouadhibou,MR,20.931,-17.0347,80.58,78,0,18.41,clear sky
467,Okhotsk,RU,59.3833,143.3,45.63,84,95,10.71,light rain
468,College,US,64.8569,-147.8028,40.66,75,90,0.0,overcast clouds
469,Pierrelatte,FR,44.3776,4.702,73.11,39,15,8.39,few clouds
470,Bria,CF,6.5423,21.9863,84.11,62,74,4.56,broken clouds
471,Rawson,AR,-43.3002,-65.1023,53.4,50,67,0.89,broken clouds
472,Omsukchan,RU,62.5333,155.8,40.86,96,100,5.5,overcast clouds
473,Aasiaat,GL,68.7098,-52.8699,20.46,70,19,7.05,few clouds
474,Satka,RU,55.0425,59.04,34.77,89,100,13.4,overcast clouds
475,Mnogovershinnyy,RU,53.9353,139.9242,36.45,77,69,6.02,broken clouds
476,Katherine,AU,-14.4667,132.2667,84.52,28,22,8.05,few clouds
477,Vanavara,RU,60.34,102.2797,44.96,79,91,1.59,overcast clouds
478,Marystown,CA,47.1666,-55.1483,59.49,92,100,6.78,overcast clouds
479,Abnub,EG,27.2696,31.1511,93.42,17,1,8.39,clear sky
480,Ayr,GB,55.4627,-4.6339,62.1,88,40,9.22,scattered clouds
481,Vallenar,CL,-28.5708,-70.7581,57.74,64,100,3.36,overcast clouds
482,Rapid City,US,44.0805,-103.231,76.28,33,75,3.0,broken clouds
483,Port Moresby,PG,-9.4431,147.1797,75.76,93,100,6.38,moderate rain
484,Buseresere,TZ,-3.0236,31.8747,77.09,53,96,8.88,overcast clouds
485,Kingman,US,35.1894,-114.053,77.9,40,1,1.99,clear sky
486,Montefiascone,IT,42.5393,12.0362,78.82,60,40,11.99,scattered clouds
487,Mayya,RU,61.7333,130.2811,40.32,69,91,11.41,overcast clouds
488,Imbituba,BR,-28.24,-48.6703,69.69,84,55,6.13,broken clouds
489,Mocuba,MZ,-16.8392,36.9856,75.04,45,94,7.87,overcast clouds
490,Westport,US,41.1415,-73.3579,66.97,80,1,1.99,clear sky
491,Eresos,GR,39.1667,25.9333,85.51,68,2,7.4,clear sky
492,Nioki,CD,-2.7167,17.6833,74.43,90,97,3.15,moderate rain
493,Mitsamiouli,KM,-11.3847,43.2844,80.89,65,75,28.77,broken clouds
494,Mahibadhoo,MV,3.7833,72.9667,83.23,73,82,7.94,broken clouds
495,Vardo,NO,70.3705,31.1107,48.43,66,21,20.74,few clouds
496,Guanica,PR,17.9716,-66.908,78.94,79,2,2.73,clear sky
497,High Level,CA,58.5169,-117.136,44.71,100,90,0.0,overcast clouds
498,Clarksville,US,36.5298,-87.3595,71.08,96,75,4.61,broken clouds
499,Scarborough,GB,54.2797,-0.4044,69.51,81,100,1.99,overcast clouds
500,Evensk,RU,61.95,159.2333,45.36,91,100,4.32,overcast clouds
501,Verkhnevilyuysk,RU,63.4453,120.3167,31.48,73,77,5.19,broken clouds
502,Huallanca,PE,-9.8993,-76.9417,44.69,77,28,1.59,scattered clouds
503,Krasnoshchekovo,RU,51.6708,82.7289,57.04,41,100,13.02,overcast clouds
504,Tochio,JP,37.4667,139.0,72.0,90,99,2.66,overcast clouds
505,Kasli,RU,55.8909,60.7616,43.54,62,99,15.46,overcast clouds
506,Yerbogachen,RU,61.2767,108.0108,46.92,95,100,2.39,overcast clouds
507,Labuhan,ID,-6.8844,112.2051,82.87,69,30,7.31,scattered clouds
508,Surt,LY,31.2089,16.5887,92.5,33,0,6.73,clear sky
509,Dwarka,IN,22.2394,68.9678,84.81,74,53,8.14,broken clouds
510,Vilcun,CL,-38.65,-72.2333,30.94,92,26,1.12,scattered clouds
511,Strai,NO,58.2,7.9,52.63,63,75,7.0,broken clouds
512,Coromandel,BR,-18.4733,-47.2003,81.5,14,63,7.74,broken clouds
513,Hervey Bay,AU,-25.2986,152.8535,66.31,73,0,10.67,clear sky
514,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,90,20,0.0,light rain
515,Colares,PT,38.7992,-9.4469,74.88,48,0,18.41,clear sky
516,Bartica,GY,6.4,-58.6167,75.52,72,49,0.43,scattered clouds
517,Sitka,US,57.0531,-135.33,49.89,87,75,3.44,broken clouds
518,Hede,CN,33.7681,120.2517,73.9,85,4,16.49,light rain
519,Gao,ML,16.6362,1.637,101.37,21,3,9.46,clear sky
520,Adrar,MR,20.5022,-10.0711,93.11,23,3,16.58,clear sky
521,Disa,IN,24.25,72.1667,83.16,80,99,6.26,overcast clouds
522,Tymovskoye,RU,50.8456,142.655,40.5,84,8,4.7,clear sky
523,North Myrtle Beach,US,33.816,-78.68,73.02,97,1,4.61,clear sky
524,Mount Gambier,AU,-37.8333,140.7667,48.11,87,89,9.22,overcast clouds
525,Mtwara,TZ,-10.2667,40.1833,84.43,53,93,20.15,overcast clouds
526,Ust-Nera,RU,64.5667,143.2,35.94,96,100,8.63,light rain
527,Elliot Lake,CA,46.3834,-82.6331,42.89,80,3,3.04,clear sky
528,Gasa,PS,31.5,34.4667,90.88,45,0,13.8,clear sky
529,Dafeng,CN,23.4517,108.5881,81.19,83,22,3.49,few clouds
530,Tsarychanka,UA,48.937,34.4786,73.8,39,48,8.3,scattered clouds
531,Bull Savanna,JM,17.8868,-77.5902,77.11,79,47,4.54,scattered clouds
532,Yar-Sale,RU,66.8333,70.8333,35.91,97,100,17.94,overcast clouds
533,Kununurra,AU,-15.7667,128.7333,82.38,51,56,0.0,broken clouds
534,Laguna,US,38.421,-121.4238,66.63,85,90,3.0,overcast clouds
535,Ifanadiana,MG,-21.3,47.6333,65.19,67,99,5.37,overcast clouds
536,Nabire,ID,-3.3667,135.4833,76.53,89,100,3.24,overcast clouds
537,Altamont,US,42.2068,-121.7372,44.4,80,20,0.0,few clouds
538,Ascension,US,30.2169,-90.9001,75.27,99,40,0.0,scattered clouds
539,Amapa,BR,1.0,-52.0,80.02,77,25,3.94,scattered clouds
540,Sorland,NO,67.667,12.6934,53.67,79,100,10.04,light rain
541,Sayville,US,40.7359,-73.0821,67.17,79,20,5.01,few clouds
542,Sherman,US,33.6357,-96.6089,73.42,90,1,0.0,clear sky
543,Taldan,RU,53.6667,124.8,41.59,80,12,4.61,few clouds
544,Tabuk,PH,17.4189,121.4443,77.83,85,69,3.4,broken clouds
545,Jiayuguan,CN,39.8167,98.3,70.61,18,20,8.41,few clouds
546,Lata,PT,40.1629,-8.3327,79.07,31,25,5.7,scattered clouds
547,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,5.75,overcast clouds
548,Ola,RU,59.5833,151.2833,45.61,88,80,5.88,broken clouds
549,Jaguarao,BR,-32.5661,-53.3758,64.31,87,86,9.31,overcast clouds
550,Amot,NO,59.5714,7.9877,48.22,84,100,4.09,overcast clouds
551,Puerto Colombia,CO,10.9878,-74.9547,78.89,84,100,14.76,overcast clouds
552,Ucluelet,CA,48.9329,-125.5528,53.1,94,85,7.7,overcast clouds
553,Oxford,GB,51.7522,-1.256,66.61,87,75,3.44,broken clouds
554,Dubbo,AU,-32.25,148.6167,48.33,71,0,0.0,clear sky
555,General Roca,AR,-39.0333,-67.5833,41.4,47,43,18.7,scattered clouds
556,Iguape,BR,-24.7081,-47.5553,71.26,88,96,1.48,overcast clouds
557,Sola,VU,-13.8833,167.55,79.29,79,19,23.42,few clouds
558,Harper,LR,4.375,-7.7169,81.28,75,80,7.87,light rain
559,Tanah Merah,MY,5.8,102.15,78.62,96,93,2.21,overcast clouds
560,Rio Bananal,BR,-19.265,-40.3333,80.29,55,14,6.58,few clouds
561,Stende,LV,57.15,22.5333,54.34,51,13,13.65,few clouds
562,Sayyan,YE,15.1718,44.3244,76.33,18,54,15.75,broken clouds
563,Liverpool,GB,53.4106,-2.9779,67.77,78,20,3.0,few clouds
564,La Romana,DO,18.4273,-68.9728,76.73,100,20,0.0,few clouds
565,Sterling,US,39.0062,-77.4286,70.16,95,20,5.75,few clouds
566,Dekar,BW,-21.5333,21.9333,88.68,22,7,9.19,clear sky
567,Tatarskaya Pishlya,RU,54.0608,44.8998,52.3,40,100,7.78,overcast clouds
568,Saint-Pierre,RE,-21.3393,55.4781,74.84,61,90,12.66,overcast clouds
569,San Pedro,PH,14.35,121.0167,79.83,84,40,0.0,scattered clouds
570,Tevriz,RU,57.509,72.4042,35.87,97,100,9.6,light rain
571,Tharad,IN,24.3961,71.6267,86.4,72,100,10.29,overcast clouds
572,Half Moon Bay,US,37.4636,-122.4286,65.91,91,90,5.75,mist
573,Limoux,FR,42.9167,2.1667,73.94,36,4,14.7,clear sky
574,Iquique,CL,-20.2208,-70.1431,59.04,64,88,4.88,overcast clouds
575,Newala,TZ,-10.9431,39.2787,80.22,39,94,3.85,overcast clouds
576,Motihari,IN,26.65,84.9167,87.17,70,81,1.5,broken clouds
577,Vila Do Maio,CV,15.1333,-23.2167,83.19,84,87,11.18,overcast clouds
578,Taltal,CL,-25.4,-70.4833,56.5,80,100,1.36,overcast clouds
579,Rovaniemi,FI,66.5,25.7167,45.81,76,90,6.91,overcast clouds
580,Vilyuysk,RU,63.7553,121.6247,31.93,67,53,5.35,broken clouds
581,Batagay-Alyta,RU,67.8006,130.4114,28.67,85,99,4.65,overcast clouds
582,Sirajganj,BD,24.45,89.7167,84.22,78,50,6.4,scattered clouds
583,Axim,GH,4.8699,-2.2405,80.44,72,53,7.23,broken clouds
584,North Bend,US,43.4065,-124.2243,57.92,95,90,8.05,overcast clouds
585,Linhares,BR,-19.3911,-40.0722,81.07,54,11,7.74,few clouds
586,Delijan,IR,33.9905,50.6838,87.15,8,0,4.56,clear sky
587,Bonthe,SL,7.5264,-12.505,77.92,87,100,3.29,light rain
588,Indian Head,US,38.6001,-77.1622,71.89,89,1,1.01,mist
589,Port Augusta,AU,-32.5,137.7667,59.14,54,0,7.47,clear sky
590,Moratuwa,LK,6.773,79.8816,84.22,80,69,8.66,broken clouds
591,Sakhon Nakhon,TH,17.1612,104.1472,89.69,58,40,3.44,scattered clouds
592,Mandalgovi,MN,45.7625,106.2708,56.39,76,83,12.1,broken clouds
593,Manaure,CO,11.7751,-72.4445,81.07,73,100,9.6,overcast clouds
594,Lomza,PL,53.1781,22.0593,47.84,84,100,14.32,overcast clouds
595,Ekibastuz,KZ,51.6667,75.3667,50.86,45,89,18.34,overcast clouds
596,Gazanjyk,TM,39.2446,55.5154,87.24,28,4,14.85,clear sky
597,Ulundi,ZA,-28.3352,31.4162,81.57,31,4,11.99,clear sky
598,Raudeberg,NO,61.9875,5.1352,64.18,89,100,11.63,overcast clouds
599,Emerald,AU,-23.5333,148.1667,75.34,43,0,5.75,clear sky
600,Iberia,US,29.9502,-91.7507,74.1,100,1,0.0,clear sky
601,Mlonggo,ID,-6.5333,110.7,85.89,70,70,8.88,broken clouds
602,Olean,US,42.0776,-78.4297,56.08,100,75,0.0,mist
603,Thetford Mines,CA,46.0913,-71.3013,47.23,76,56,1.05,broken clouds
604,Linqiong,CN,30.4159,103.4609,78.62,77,17,4.47,few clouds
605,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,50.59,100,75,8.95,light intensity shower rain
606,Port Shepstone,ZA,-30.7414,30.455,69.21,67,56,20.36,broken clouds
607,Richards Bay,ZA,-28.783,32.0377,77.79,46,0,17.92,clear sky
608,Victor Harbor,AU,-35.5667,138.6167,61.81,92,96,3.0,overcast clouds
609,Elvas,PT,38.8815,-7.1628,76.66,43,3,7.56,clear sky
610,Huanren,CN,41.2647,125.3667,64.54,89,100,1.9,overcast clouds
611,Zheleznodorozhnyy,RU,55.7503,38.0042,48.38,54,100,13.38,overcast clouds
612,Dabhol,IN,17.6,73.1667,79.14,85,96,4.94,overcast clouds
613,Sinnamary,GF,5.3833,-52.95,82.51,76,64,8.37,broken clouds
614,Enterprise,US,36.0252,-115.2419,76.71,20,75,13.0,smoke
615,Lircay,PE,-12.9896,-74.7205,43.34,77,56,1.63,broken clouds
616,Bilma,NE,18.6853,12.9164,99.9,10,22,3.15,few clouds
617,Haines Junction,CA,60.7522,-137.5108,35.55,93,100,2.3,overcast clouds
618,Abalak,RU,58.1286,68.5944,35.29,97,100,12.15,light rain
619,Shagonar,RU,51.5333,92.8,61.72,53,75,0.22,broken clouds
620,Tessalit,ML,20.1986,1.0114,105.64,6,3,6.98,clear sky
621,Chicama,PE,-7.8447,-79.1469,57.74,85,69,3.51,broken clouds
622,Kurilsk,RU,45.2333,147.8833,52.56,89,55,6.42,broken clouds
623,Mollendo,PE,-17.0231,-72.0147,59.38,85,99,6.85,overcast clouds
624,Skjervoy,NO,70.0311,20.9714,53.6,65,100,7.96,overcast clouds
625,Pengcheng,CN,36.4311,114.17,61.21,89,100,10.25,light rain
626,Manati,PR,18.4275,-66.4921,81.63,94,27,5.68,scattered clouds
627,Warri,NG,5.5167,5.75,86.54,63,60,6.2,moderate rain
628,Gabu,GW,12.2833,-14.2167,88.07,68,59,1.57,broken clouds
629,Portsmouth,GB,50.799,-1.0913,67.5,81,100,1.01,overcast clouds
630,Port Hawkesbury,CA,45.6169,-61.3485,62.55,96,90,1.01,light rain
631,Dobryanka,RU,58.4619,56.4165,44.46,68,100,11.07,overcast clouds
632,Westerland,DE,54.9079,8.3033,59.02,67,75,13.8,broken clouds
633,Nikolayevsk-Na-Amure,RU,53.1406,140.73,40.35,73,35,4.65,scattered clouds
634,Ulaangom,MN,49.9811,92.0667,61.32,36,69,2.8,broken clouds
635,Manzhouli,CN,49.6,117.4333,46.74,49,0,3.2,clear sky
636,Jurm,AF,36.8648,70.8342,80.29,10,18,7.83,few clouds
637,Aras,ES,42.5617,-2.356,66.72,74,0,6.91,clear sky
638,Pilar,BR,-9.5972,-35.9567,80.53,68,53,4.83,broken clouds
639,Gorontalo,ID,0.5412,123.0595,76.42,92,89,3.31,overcast clouds
640,Jieshi,CN,22.8134,115.8257,82.72,82,5,8.77,clear sky
641,Alekseyevskaya,RU,50.2896,42.1845,65.1,36,100,17.47,overcast clouds
642,Anloga,GH,5.7947,0.8973,86.22,76,100,12.53,overcast clouds
643,Gamba,GA,-2.65,10.0,80.47,67,28,10.29,scattered clouds
644,Fare,PF,-16.7,-151.0167,77.97,74,15,17.47,light rain
645,Dunedin,NZ,-45.8742,170.5036,49.8,83,100,4.0,overcast clouds
646,Tukums,LV,56.9669,23.1553,54.75,50,21,14.18,few clouds
